combination,emd
"(, BC); (BC, A)",1.94140625
"(BC, A); (, BC)",1.94140625
"(, ABC); (BC, )",2.0322265625
"(BC, ); (, ABC)",2.0322265625
"(B, ); (C, ABC)",0.609375
"(C, ABC); (B, )",0.609375
"(B, A); (C, BC)",2.03125
"(C, BC); (B, A)",2.03125
"(B, B); (C, AC)",2.03125
"(C, AC); (B, B)",2.03125
"(B, C); (C, AB)",2.03125
"(C, AB); (B, C)",2.03125
"(B, AB); (C, C)",2.03125
"(C, C); (B, AB)",2.03125
"(B, BC); (C, A)",2.03125
"(C, A); (B, BC)",2.03125
"(B, ABC); (C, )",0.609375
"(C, ); (B, ABC)",0.609375
"(C, B); (B, AC)",2.03125
"(B, AC); (C, B)",2.03125
"(BC, B); (, AC)",1.94140625
"(, AC); (BC, B)",1.94140625
"(, ); (ABC, A)",2.845458984375
"(ABC, A); (, )",2.845458984375
"(, A); (ABC, )",3.043426513671875
"(ABC, ); (, A)",3.043426513671875
"(A, ); (BC, A)",2.9100341796875
"(BC, A); (A, )",2.9100341796875
"(A, A); (BC, )",2.97601318359375
"(BC, ); (A, A)",2.97601318359375
"(B, ); (AC, A)",2.9100341796875
"(AC, A); (B, )",2.9100341796875
"(B, A); (AC, )",2.97601318359375
"(AC, ); (B, A)",2.97601318359375
"(C, ); (AB, A)",2.9100341796875
"(AB, A); (C, )",2.9100341796875
"(C, A); (AB, )",2.97601318359375
"(AB, ); (C, A)",2.97601318359375
"(, ); (ABC, B)",2.845458984375
"(ABC, B); (, )",2.845458984375
"(, B); (ABC, )",3.043426513671875
"(ABC, ); (, B)",3.043426513671875
"(A, ); (BC, B)",2.9100341796875
"(BC, B); (A, )",2.9100341796875
"(A, B); (BC, )",2.97601318359375
"(BC, ); (A, B)",2.97601318359375
"(B, ); (AC, B)",2.9100341796875
"(AC, B); (B, )",2.9100341796875
"(B, B); (AC, )",2.97601318359375
"(AC, ); (B, B)",2.97601318359375
"(C, ); (AB, B)",2.9100341796875
"(AB, B); (C, )",2.9100341796875
"(C, B); (AB, )",2.97601318359375
"(AB, ); (C, B)",2.97601318359375
"(, ); (ABC, C)",2.845458984375
"(ABC, C); (, )",2.845458984375
"(, C); (ABC, )",3.043426513671875
"(ABC, ); (, C)",3.043426513671875
"(A, ); (BC, C)",2.9100341796875
"(BC, C); (A, )",2.9100341796875
"(A, C); (BC, )",2.97601318359375
"(BC, ); (A, C)",2.97601318359375
"(B, ); (AC, C)",2.9100341796875
"(AC, C); (B, )",2.9100341796875
"(B, C); (AC, )",2.97601318359375
"(AC, ); (B, C)",2.97601318359375
"(C, ); (AB, C)",2.9100341796875
"(AB, C); (C, )",2.9100341796875
"(C, C); (AB, )",2.97601318359375
"(AB, ); (C, C)",2.97601318359375
"(, ); (ABC, AB)",3.25
"(ABC, AB); (, )",3.25
"(, A); (ABC, B)",2.845458984375
"(ABC, B); (, A)",2.845458984375
"(, B); (ABC, A)",2.845458984375
"(ABC, A); (, B)",2.845458984375
"(, AB); (ABC, )",3.043426513671875
"(ABC, ); (, AB)",3.043426513671875
"(A, ); (BC, AB)",3.1796875
"(BC, AB); (A, )",3.1796875
"(A, A); (BC, B)",2.845458984375
"(BC, B); (A, A)",2.845458984375
"(A, B); (BC, A)",2.845458984375
"(BC, A); (A, B)",2.845458984375
"(A, AB); (BC, )",3.11083984375
"(BC, ); (A, AB)",3.11083984375
"(B, ); (AC, AB)",3.1796875
"(AC, AB); (B, )",3.1796875
"(B, A); (AC, B)",2.845458984375
"(AC, B); (B, A)",2.845458984375
"(B, B); (AC, A)",2.845458984375
"(AC, A); (B, B)",2.845458984375
"(B, AB); (AC, )",3.11083984375
"(AC, ); (B, AB)",3.11083984375
"(C, ); (AB, AB)",3.1796875
"(AB, AB); (C, )",3.1796875
"(C, A); (AB, B)",2.845458984375
"(AB, B); (C, A)",2.845458984375
"(C, B); (AB, A)",2.845458984375
"(AB, A); (C, B)",2.845458984375
"(C, AB); (AB, )",3.11083984375
"(AB, ); (C, AB)",3.11083984375
"(, ); (ABC, AC)",3.25
"(ABC, AC); (, )",3.25
"(, A); (ABC, C)",2.845458984375
"(ABC, C); (, A)",2.845458984375
"(, C); (ABC, A)",2.845458984375
"(ABC, A); (, C)",2.845458984375
"(, AC); (ABC, )",3.043426513671875
"(ABC, ); (, AC)",3.043426513671875
"(A, ); (BC, AC)",3.1796875
"(BC, AC); (A, )",3.1796875
"(A, A); (BC, C)",2.845458984375
"(BC, C); (A, A)",2.845458984375
"(A, C); (BC, A)",2.845458984375
"(BC, A); (A, C)",2.845458984375
"(A, AC); (BC, )",3.11083984375
"(BC, ); (A, AC)",3.11083984375
"(B, ); (AC, AC)",3.1796875
"(AC, AC); (B, )",3.1796875
"(B, A); (AC, C)",2.845458984375
"(AC, C); (B, A)",2.845458984375
"(B, C); (AC, A)",2.845458984375
"(AC, A); (B, C)",2.845458984375
"(B, AC); (AC, )",3.11083984375
"(AC, ); (B, AC)",3.11083984375
"(C, ); (AB, AC)",3.1796875
"(AB, AC); (C, )",3.1796875
"(C, A); (AB, C)",2.845458984375
"(AB, C); (C, A)",2.845458984375
"(C, C); (AB, A)",2.845458984375
"(AB, A); (C, C)",2.845458984375
"(C, AC); (AB, )",3.11083984375
"(AB, ); (C, AC)",3.11083984375
"(, ); (ABC, BC)",3.25
"(ABC, BC); (, )",3.25
"(, B); (ABC, C)",2.845458984375
"(ABC, C); (, B)",2.845458984375
"(, C); (ABC, B)",2.845458984375
"(ABC, B); (, C)",2.845458984375
"(, BC); (ABC, )",3.043426513671875
"(ABC, ); (, BC)",3.043426513671875
"(A, ); (BC, BC)",3.1796875
"(BC, BC); (A, )",3.1796875
"(A, B); (BC, C)",2.845458984375
"(BC, C); (A, B)",2.845458984375
"(A, C); (BC, B)",2.845458984375
"(BC, B); (A, C)",2.845458984375
"(A, BC); (BC, )",3.11083984375
"(BC, ); (A, BC)",3.11083984375
"(B, ); (AC, BC)",3.1796875
"(AC, BC); (B, )",3.1796875
"(B, B); (AC, C)",2.845458984375
"(AC, C); (B, B)",2.845458984375
"(B, C); (AC, B)",2.845458984375
"(AC, B); (B, C)",2.845458984375
"(B, BC); (AC, )",3.11083984375
"(AC, ); (B, BC)",3.11083984375
"(C, ); (AB, BC)",3.1796875
"(AB, BC); (C, )",3.1796875
"(C, B); (AB, C)",2.845458984375
"(AB, C); (C, B)",2.845458984375
"(C, C); (AB, B)",2.845458984375
"(AB, B); (C, C)",2.845458984375
"(C, BC); (AB, )",3.11083984375
"(AB, ); (C, BC)",3.11083984375
"(, ); (ABC, ABC)",0.0
"(ABC, ABC); (, )",0.0
"(, A); (ABC, BC)",3.25
"(ABC, BC); (, A)",3.25
"(, B); (ABC, AC)",3.25
"(ABC, AC); (, B)",3.25
"(, C); (ABC, AB)",3.25
"(ABC, AB); (, C)",3.25
"(, AB); (ABC, C)",2.845458984375
"(ABC, C); (, AB)",2.845458984375
"(, BC); (ABC, A)",2.845458984375
"(ABC, A); (, BC)",2.845458984375
"(, ABC); (ABC, )",3.043426513671875
"(ABC, ); (, ABC)",3.043426513671875
"(A, ); (BC, ABC)",0.2421875
"(BC, ABC); (A, )",0.2421875
"(A, A); (BC, BC)",3.109375
"(BC, BC); (A, A)",3.109375
"(A, B); (BC, AC)",3.109375
"(BC, AC); (A, B)",3.109375
"(A, C); (BC, AB)",3.109375
"(BC, AB); (A, C)",3.109375
"(A, AB); (BC, C)",2.974609375
"(BC, C); (A, AB)",2.974609375
"(A, BC); (BC, A)",2.974609375
"(BC, A); (A, BC)",2.974609375
"(A, ABC); (BC, )",0.95361328125
"(BC, ); (A, ABC)",0.95361328125
"(B, ); (AC, ABC)",0.2421875
"(AC, ABC); (B, )",0.2421875
"(B, A); (AC, BC)",3.109375
"(AC, BC); (B, A)",3.109375
"(B, B); (AC, AC)",3.109375
"(AC, AC); (B, B)",3.109375
"(B, C); (AC, AB)",3.109375
"(AC, AB); (B, C)",3.109375
"(B, AB); (AC, C)",2.974609375
"(AC, C); (B, AB)",2.974609375
"(B, BC); (AC, A)",2.974609375
"(AC, A); (B, BC)",2.974609375
"(B, ABC); (AC, )",0.95361328125
"(AC, ); (B, ABC)",0.95361328125
"(C, ); (AB, ABC)",0.2421875
"(AB, ABC); (C, )",0.2421875
"(C, A); (AB, BC)",3.109375
"(AB, BC); (C, A)",3.109375
"(C, B); (AB, AC)",3.109375
"(AB, AC); (C, B)",3.109375
"(C, C); (AB, AB)",3.109375
"(AB, AB); (C, C)",3.109375
"(C, AB); (AB, C)",2.974609375
"(AB, C); (C, AB)",2.974609375
"(C, BC); (AB, A)",2.974609375
"(AB, A); (C, BC)",2.974609375
"(C, ABC); (AB, )",0.95361328125
"(AB, ); (C, ABC)",0.95361328125
"(AB, B); (C, AC)",2.974609375
"(C, AC); (AB, B)",2.974609375
"(BC, B); (A, AC)",2.974609375
"(A, AC); (BC, B)",2.974609375
"(ABC, B); (, AC)",2.845458984375
"(, AC); (ABC, B)",2.845458984375
