combination,emd,System,Tiempo
"(['D']); (['CN', 'DN', 'FN'])",0.09375,"('D', 'CDF')",00:00.006001
"(['D']); (['CN', 'EN', 'FN'])",0.09375,"('D', 'CEF')",00:00.005519
"(['D']); (['DN', 'EN', 'FN'])",0.09375,"('D', 'DEF')",00:00.007516
"(['E']); (['AN', 'BN', 'CN'])",0.09375,"('E', 'ABC')",00:00.005564
"(['E']); (['AN', 'BN', 'DN'])",0.09375,"('E', 'ABD')",00:00.007024
"(['E']); (['AN', 'BN', 'EN'])",0.09375,"('E', 'ABE')",00:00.005567
"(['E']); (['AN', 'BN', 'FN'])",0.09375,"('E', 'ABF')",00:00.004989
"(['E']); (['AN', 'CN', 'DN'])",0.09375,"('E', 'ACD')",00:00.005536
"(['E']); (['AN', 'CN', 'EN'])",0.09375,"('E', 'ACE')",00:00.005537
"(['E']); (['AN', 'CN', 'FN'])",0.09375,"('E', 'ACF')",00:00.005983
"(['E']); (['AN', 'DN', 'EN'])",0.09375,"('E', 'ADE')",00:00.003049
"(['E']); (['AN', 'DN', 'FN'])",0.09375,"('E', 'ADF')",00:00.001978
"(['E']); (['AN', 'EN', 'FN'])",0.09375,"('E', 'AEF')",00:00.004512
"(['E']); (['BN', 'CN', 'DN'])",0.09375,"('E', 'BCD')",00:00.006033
"(['E']); (['BN', 'CN', 'EN'])",0.09375,"('E', 'BCE')",00:00.006529
"(['E']); (['BN', 'CN', 'FN'])",0.09375,"('E', 'BCF')",00:00.008513
"(['E']); (['BN', 'DN', 'EN'])",0.09375,"('E', 'BDE')",00:00.008021
"(['E']); (['BN', 'DN', 'FN'])",0.09375,"('E', 'BDF')",00:00.006043
"(['E']); (['BN', 'EN', 'FN'])",0.09375,"('E', 'BEF')",00:00.005527
"(['E']); (['CN', 'DN', 'EN'])",0.09375,"('E', 'CDE')",00:00.004986
"(['E']); (['CN', 'DN', 'FN'])",0.09375,"('E', 'CDF')",00:00.005611
"(['E']); (['CN', 'EN', 'FN'])",0.09375,"('E', 'CEF')",00:00.005546
"(['E']); (['DN', 'EN', 'FN'])",0.09375,"('E', 'DEF')",00:00.004999
"(['F']); (['AN', 'BN', 'CN'])",0.09375,"('F', 'ABC')",00:00.006547
"(['F']); (['AN', 'BN', 'DN'])",0.09375,"('F', 'ABD')",00:00.004987
"(['F']); (['AN', 'BN', 'EN'])",0.09375,"('F', 'ABE')",00:00.005017
"(['F']); (['AN', 'BN', 'FN'])",0.09375,"('F', 'ABF')",00:00.006305
"(['F']); (['AN', 'CN', 'DN'])",0.09375,"('F', 'ACD')",00:00.002015
"(['F']); (['AN', 'CN', 'EN'])",0.09375,"('F', 'ACE')",00:00.002984
"(['F']); (['AN', 'CN', 'FN'])",0.09375,"('F', 'ACF')",00:00.006531
"(['F']); (['AN', 'DN', 'EN'])",0.09375,"('F', 'ADE')",00:00.005522
"(['F']); (['AN', 'DN', 'FN'])",0.09375,"('F', 'ADF')",00:00.005975
"(['F']); (['AN', 'EN', 'FN'])",0.09375,"('F', 'AEF')",00:00.007563
"(['F']); (['BN', 'CN', 'DN'])",0.09375,"('F', 'BCD')",00:00.005552
"(['F']); (['BN', 'CN', 'EN'])",0.09375,"('F', 'BCE')",00:00.006001
"(['F']); (['BN', 'CN', 'FN'])",0.09375,"('F', 'BCF')",00:00.005543
"(['F']); (['BN', 'DN', 'EN'])",0.09375,"('F', 'BDE')",00:00.005001
"(['F']); (['BN', 'DN', 'FN'])",0.09375,"('F', 'BDF')",00:00.004272
"(['F']); (['BN', 'EN', 'FN'])",0.09375,"('F', 'BEF')",00:00.004485
"(['F']); (['CN', 'DN', 'EN'])",0.09375,"('F', 'CDE')",00:00.004997
"(['F']); (['CN', 'DN', 'FN'])",0.09375,"('F', 'CDF')",00:00.005497
"(['F']); (['CN', 'EN', 'FN'])",0.09375,"('F', 'CEF')",00:00.005167
"(['F']); (['DN', 'EN', 'FN'])",0.09375,"('F', 'DEF')",00:00.003129
"(['A']); (['AN', 'BN', 'CN', 'DN'])",0.07812,"('A', 'ABCD')",00:00.010754
"(['A']); (['AN', 'BN', 'CN', 'EN'])",0.07812,"('A', 'ABCE')",00:00.004045
"(['A']); (['AN', 'BN', 'CN', 'FN'])",0.07812,"('A', 'ABCF')",00:00.006299
"(['A']); (['AN', 'BN', 'DN', 'EN'])",0.07812,"('A', 'ABDE')",00:00.008577
"(['A']); (['AN', 'BN', 'DN', 'FN'])",0.07812,"('A', 'ABDF')",00:00.011310
"(['A']); (['AN', 'BN', 'EN', 'FN'])",0.07812,"('A', 'ABEF')",00:00.010597
"(['A']); (['AN', 'CN', 'DN', 'EN'])",0.07812,"('A', 'ACDE')",00:00.008543
"(['A']); (['AN', 'CN', 'DN', 'FN'])",0.07812,"('A', 'ACDF')",00:00.007911
"(['A']); (['AN', 'CN', 'EN', 'FN'])",0.07812,"('A', 'ACEF')",00:00.010177
"(['A']); (['AN', 'DN', 'EN', 'FN'])",0.07812,"('A', 'ADEF')",00:00.009176
"(['A']); (['BN', 'CN', 'DN', 'EN'])",0.07812,"('A', 'BCDE')",00:00.010599
"(['A']); (['BN', 'CN', 'DN', 'FN'])",0.07812,"('A', 'BCDF')",00:00.011199
"(['A']); (['BN', 'CN', 'EN', 'FN'])",0.07812,"('A', 'BCEF')",00:00.006930
"(['A']); (['BN', 'DN', 'EN', 'FN'])",0.07812,"('A', 'BDEF')",00:00.009664
"(['A']); (['CN', 'DN', 'EN', 'FN'])",0.07812,"('A', 'CDEF')",00:00.012555
"(['B']); (['AN', 'BN', 'CN', 'DN'])",0.07812,"('B', 'ABCD')",00:00.010516
"(['B']); (['AN', 'BN', 'CN', 'EN'])",0.07812,"('B', 'ABCE')",00:00.009342
"(['B']); (['AN', 'BN', 'CN', 'FN'])",0.07812,"('B', 'ABCF')",00:00.007562
"(['B']); (['AN', 'BN', 'DN', 'EN'])",0.07812,"('B', 'ABDE')",00:00.010520
"(['B']); (['AN', 'BN', 'DN', 'FN'])",0.07812,"('B', 'ABDF')",00:00.010516
"(['B']); (['AN', 'BN', 'EN', 'FN'])",0.07812,"('B', 'ABEF')",00:00.009510
"(['B']); (['AN', 'CN', 'DN', 'EN'])",0.07812,"('B', 'ACDE')",00:00.010520
"(['B']); (['AN', 'CN', 'DN', 'FN'])",0.07812,"('B', 'ACDF')",00:00.011619
"(['B']); (['AN', 'CN', 'EN', 'FN'])",0.07812,"('B', 'ACEF')",00:00.009514
"(['B']); (['AN', 'DN', 'EN', 'FN'])",0.07812,"('B', 'ADEF')",00:00.009769
"(['B']); (['BN', 'CN', 'DN', 'EN'])",0.07812,"('B', 'BCDE')",00:00.008755
"(['B']); (['BN', 'CN', 'DN', 'FN'])",0.07812,"('B', 'BCDF')",00:00.008526
"(['B']); (['BN', 'CN', 'EN', 'FN'])",0.07812,"('B', 'BCEF')",00:00.009589
"(['B']); (['BN', 'DN', 'EN', 'FN'])",0.07812,"('B', 'BDEF')",00:00.008481
"(['B']); (['CN', 'DN', 'EN', 'FN'])",0.07812,"('B', 'CDEF')",00:00.008050
"(['C']); (['AN', 'BN', 'CN', 'DN'])",0.07812,"('C', 'ABCD')",00:00.008913
"(['C']); (['AN', 'BN', 'CN', 'EN'])",0.07812,"('C', 'ABCE')",00:00.011190
"(['C']); (['AN', 'BN', 'CN', 'FN'])",0.07812,"('C', 'ABCF')",00:00.010488
"(['C']); (['AN', 'BN', 'DN', 'EN'])",0.07812,"('C', 'ABDE')",00:00.010514
"(['C']); (['AN', 'BN', 'DN', 'FN'])",0.07812,"('C', 'ABDF')",00:00.011523
"(['C']); (['AN', 'BN', 'EN', 'FN'])",0.07812,"('C', 'ABEF')",00:00.009517
"(['C']); (['AN', 'CN', 'DN', 'EN'])",0.07812,"('C', 'ACDE')",00:00.011536
"(['C']); (['AN', 'CN', 'DN', 'FN'])",0.07812,"('C', 'ACDF')",00:00.008631
"(['C']); (['AN', 'CN', 'EN', 'FN'])",0.07812,"('C', 'ACEF')",00:00.009583
"(['C']); (['AN', 'DN', 'EN', 'FN'])",0.07812,"('C', 'ADEF')",00:00.009586
"(['C']); (['BN', 'CN', 'DN', 'EN'])",0.07812,"('C', 'BCDE')",00:00.010629
"(['C']); (['BN', 'CN', 'DN', 'FN'])",0.07812,"('C', 'BCDF')",00:00.010332
"(['C']); (['BN', 'CN', 'EN', 'FN'])",0.07812,"('C', 'BCEF')",00:00.009626
"(['C']); (['BN', 'DN', 'EN', 'FN'])",0.07812,"('C', 'BDEF')",00:00.010546
"(['C']); (['CN', 'DN', 'EN', 'FN'])",0.07812,"('C', 'CDEF')",00:00.009665
"(['D']); (['AN', 'BN', 'CN', 'DN'])",0.07812,"('D', 'ABCD')",00:00.008592
"(['D']); (['AN', 'BN', 'CN', 'EN'])",0.07812,"('D', 'ABCE')",00:00.010615
"(['D']); (['AN', 'BN', 'CN', 'FN'])",0.07812,"('D', 'ABCF')",00:00.009173
"(['D']); (['AN', 'BN', 'DN', 'EN'])",0.07812,"('D', 'ABDE')",00:00.008417
"(['D']); (['AN', 'BN', 'DN', 'FN'])",0.07812,"('D', 'ABDF')",00:00.010601
"(['D']); (['AN', 'BN', 'EN', 'FN'])",0.07812,"('D', 'ABEF')",00:00.010574
"(['D']); (['AN', 'CN', 'DN', 'EN'])",0.07812,"('D', 'ACDE')",00:00.009662
"(['D']); (['AN', 'CN', 'DN', 'FN'])",0.07812,"('D', 'ACDF')",00:00.010537
"(['D']); (['AN', 'CN', 'EN', 'FN'])",0.07812,"('D', 'ACEF')",00:00.009479
"(['D']); (['AN', 'DN', 'EN', 'FN'])",0.07812,"('D', 'ADEF')",00:00.009516
"(['D']); (['BN', 'CN', 'DN', 'EN'])",0.07812,"('D', 'BCDE')",00:00.010529
"(['D']); (['BN', 'CN', 'DN', 'FN'])",0.07812,"('D', 'BCDF')",00:00.009631
"(['D']); (['BN', 'CN', 'EN', 'FN'])",0.07812,"('D', 'BCEF')",00:00.008564
"(['D']); (['BN', 'DN', 'EN', 'FN'])",0.07812,"('D', 'BDEF')",00:00.007667
